"","x"
"1",100.999499394264
"2",100.948938465574
"3",100.858370624152
"4",100.713811079574
"5",100.641468604955
"6",100.531934820835
"7",100.45884076856
"8",100.423356629657
"9",100.357697115506
"10",100.321717317851
"11",100.199222413781
"12",100.061740627435
"13",99.9712424007139
"14",99.8970841522787
"15",99.8957974144179
"16",99.845226472244
"17",99.723734668214
"18",99.6429303440567
"19",99.5766225763362
"20",99.5388584698367
"21",99.5585695657973
"22",99.5278938473792
"23",99.6027397007218
"24",99.6460595055174
"25",99.5414790677543
"26",99.4472134830947
"27",99.4263766436599
"28",99.4989988896344
"29",99.5731444493129
"30",99.7174561039794
"31",99.8708382238717
"32",100.061141271732
"33",100.254888666746
"34",100.452976189711
"35",100.825017929278
"36",101.224102466054
"37",101.461832927424
"38",101.605312589589
"39",101.731652393245
"40",101.895179795762
"41",102.124650174584
"42",102.443226050195
"43",102.79000846785
"44",103.044122710546
"45",103.175590385221
"46",103.37468703448
"47",103.576602438509
"48",103.771116568164
"49",103.895615874612
"50",103.934771246937
"51",104.056009302303
"52",104.20997208739
"53",104.336414499219
"54",104.413969793812
"55",104.353203860725
"56",104.217611460767
"57",104.129847337524
"58",104.14722644402
"59",104.151157997174
"60",104.134975978971
"61",104.087817901606
"62",104.072502006189
"63",103.993447972321
"64",103.800678003326
"65",103.600233986326
"66",103.459690841142
"67",103.317757348957
"68",103.206421472101
"69",103.114978070158
"70",103.046594963834
"71",102.912219846831
"72",102.868394863332
"73",102.796880318361
"74",102.66371756601
"75",102.554594380378
"76",102.50611878158
"77",102.415014512179
"78",102.371606934984
"79",102.42591720169
"80",102.499523208885
"81",102.510064819793
"82",102.424514498728
"83",102.333034640242
"84",102.249654777896
"85",102.132681730836
"86",102.033022268532
"87",101.972040586754
"88",101.912320232816
"89",101.889703711588
"90",101.839743706763
"91",101.784260424815
"92",101.762519504972
"93",101.62361777367
"94",101.616419947797
"95",101.680859974814
"96",101.659442856606
"97",101.611684135705
"98",101.469438011323
"99",101.395121912528
"100",101.297306857677
"101",101.122331638725
"102",101.051646576301
"103",100.932377451957
"104",100.788655996801
"105",100.699188771283
"106",100.519866213278
"107",100.335112400733
"108",100.310543479152
"109",100.222261441289
"110",100.149136685664
"111",100.179660468278
"112",100.139864401754
"113",100.074266433809
"114",99.8640747791457
"115",99.6874050274016
"116",99.562785195164
"117",99.4124844164149
"118",99.3057666589872
"119",99.249337886396
"120",99.1281104862534
"121",99.0619459224046
"122",99.0127188000418
"123",98.9835215333151
"124",99.00993220491
"125",99.0740182697838
"126",99.1672772190955
"127",99.3629790205487
"128",99.6014864195749
"129",99.8605941936977
"130",100.133295637973
"131",100.339694407187
"132",100.45912121659
"133",100.557156995328
"134",100.588840102076
"135",100.604736616921
"136",100.585104687646
"137",100.467276936502
"138",100.322929708086
"139",100.174157572999
"140",100.125908195176
"141",100.045421954588
"142",99.9194636303094
"143",99.8697094172965
"144",99.9207684055009
"145",99.9846921615046
"146",100.005549294604
"147",100.014954755791
"148",99.9663043645552
"149",99.9383850177321
"150",99.8133511743797
"151",99.6894405487578
"152",99.6637467798293
"153",99.620530139775
"154",99.547304722775
"155",99.4910310500474
"156",99.3688797019412
"157",99.2237832164687
"158",99.1600506048383
"159",99.1942543024014
"160",99.252797141971
"161",99.2528428197325
"162",99.1989196725795
"163",99.1970004216077
"164",99.1606293485917
"165",99.180272363424
"166",99.182712310721
"167",99.1823415189719
"168",99.1323527745697
"169",99.0931611232511
"170",99.0052087660177
"171",99.0658490917828
"172",99.0961458386917
"173",99.1210404321874
"174",99.1175048162182
"175",99.163684932889
"176",99.1746601201259
"177",99.2594554166025
"178",99.3529718779011
"179",99.3044484349842
"180",99.3066325922509
"181",99.3307361425881
"182",99.3944120795157
"183",99.4066134661979
"184",99.4095172885851
"185",99.4584494169751
"186",99.5299475456711
"187",99.7260174588152
"188",99.9479102927897
"189",100.11183019755
"190",100.297548574129
"191",100.43503504606
"192",100.621421826201
"193",100.821223145821
"194",100.989420322472
"195",101.149367096859
"196",101.244225229392
"197",101.280070940322
"198",101.383485245379
"199",101.445395667726
"200",101.549893346508
"201",101.706930843155
"202",101.745014540822
"203",101.835165975881
"204",101.847188630432
"205",101.81966196827
"206",101.832051357522
"207",101.724063231882
"208",101.663760305211
"209",101.583063716437
"210",101.541224560988
"211",101.503774755875
"212",101.553307908568
"213",101.590167893003
"214",101.558106566839
"215",101.534525765206
"216",101.493394091521
"217",101.455416682062
"218",101.555404533201
"219",101.670722741628
"220",101.719841385923
"221",101.788256307525
"222",101.94556527662
"223",102.16393598182
"224",102.401123405279
"225",102.671418495966
"226",102.843251013266
"227",102.990469254891
"228",103.114277336738
"229",103.19188836917
"230",103.248524289653
"231",103.332356272472
"232",103.381554469394
"233",103.32532131757
"234",103.356469577765
"235",103.382319930906
"236",103.45200817756
"237",103.626211347072
"238",103.653515741874
"239",103.580233287153
"240",103.521410642774
"241",103.561073234
"242",103.602667282875
"243",103.731975186331
"244",103.825956024583
"245",103.925782309244
"246",104.07156294901
"247",104.151283340966
"248",104.256645260613
"249",104.40789835568
"250",104.501047175421
"251",104.577904820432
"252",104.61013942026
"253",104.674280613891
"254",104.797677244204
"255",104.828549445878
"256",104.859477018008
"257",104.868018245734
"258",104.912440036041
"259",104.962459458967
"260",104.957341486027
"261",105.034298450858
"262",105.168187749507
"263",105.330154828032
"264",105.446460758293
"265",105.50780669249
"266",105.481076324828
"267",105.373582038557
"268",105.236742336926
"269",105.194346459044
"270",105.200884694696
"271",105.178688972383
"272",105.125248296235
"273",104.9959851889
"274",104.864471514172
"275",104.792914493918
"276",104.797140108128
"277",104.78654966622
"278",104.84249949553
"279",104.873594837915
"280",104.860178887277
"281",104.786356921951
"282",104.665193433691
"283",104.53632474324
"284",104.399413310012
"285",104.285662137283
"286",104.156771205104
"287",104.079719049938
"288",104.111172601302
"289",104.135550040504
"290",104.163351278213
"291",104.277426213224
"292",104.472785778828
"293",104.671830046877
"294",104.908011386227
"295",105.064273194399
"296",105.200979261628
"297",105.3923780485
"298",105.567134047883
"299",105.770108139427
"300",105.966345445126
"301",106.288401172799
"302",106.643217809331
"303",106.981968897052
"304",107.320954503379
"305",107.574388621008
"306",107.748542690015
"307",107.836165764347
"308",107.875456224249
"309",107.950677159136
"310",107.983231045541
"311",107.920341589155
"312",107.902273835292
"313",107.976760513772
"314",108.060781841252
"315",108.100013237392
"316",108.172375395044
"317",108.129314380419
"318",108.08725360456
"319",108.007797353344
"320",107.920465962002
"321",107.874346976352
"322",107.824314651959
"323",107.722964964049
"324",107.572084069667
"325",107.396256218338
"326",107.199412789187
"327",107.04026039887
"328",106.753597451599
"329",106.470597275532
"330",106.308051528056
"331",106.116275821352
"332",106.022820055228
"333",106.011999084327
"334",105.937535073085
"335",105.816775138711
"336",105.766589106153
"337",105.866126119633
"338",105.87239183377
"339",105.906700986903
"340",105.955609599414
"341",105.956076457593
"342",105.846723680424
"343",105.703388721826
"344",105.621254816877
"345",105.445299010119
"346",105.376230875498
"347",105.380782333129
"348",105.415266654586
"349",105.449159980943
"350",105.49908078842
"351",105.547162778117
"352",105.629763175976
"353",105.655745966592
"354",105.652203384466
"355",105.64561383448
"356",105.607948141203
"357",105.545904124804
"358",105.494251243667
"359",105.346717691049
"360",105.240653511223
"361",105.161207486746
"362",105.078915883688
"363",105.016844259663
"364",104.911733888871
"365",104.817806122169
"366",104.738660838871
"367",104.675093487035
"368",104.48474065121
"369",104.296405813438
"370",104.212515882866
"371",104.177668967555
"372",104.247626385659
"373",104.29914326777
"374",104.403992835611
"375",104.542074604873
"376",104.695427404131
"377",104.809796348022
"378",104.976938036345
"379",105.166728345482
"380",105.240306483636
"381",105.264802561705
"382",105.240515960929
"383",105.319282798997
"384",105.450597679611
"385",105.671861204349
"386",105.727428459938
"387",105.816310157122
"388",105.819664202352
"389",105.823255365428
"390",105.782193223409
"391",105.699781452801
"392",105.628072476852
"393",105.532492703955
"394",105.367740754334
"395",105.211020344346
"396",105.114881792661
"397",105.071781139391
"398",104.879922369488
"399",104.62533775543
"400",104.335411067165
"401",103.99493264822
"402",103.641510422508
"403",103.320444885182
"404",103.034575888344
"405",102.881471650977
"406",102.793573633479
"407",102.621466936489
"408",102.429987211806
"409",102.31326557398
"410",102.151707306424
"411",101.935880627153
"412",101.787781225641
"413",101.681577907744
"414",101.618477168399
"415",101.583569340163
"416",101.473596847171
"417",101.404364385027
"418",101.37709075504
"419",101.360024097652
"420",101.413587997417
"421",101.474541811839
"422",101.567366186179
"423",101.697795716446
"424",101.725155070374
"425",101.729357914327
"426",101.818382503811
"427",101.861470619435
"428",101.902168319733
"429",101.956845296298
"430",101.99313456666
"431",102.099101538161
"432",102.149933883291
"433",102.15462749043
"434",102.111050605828
"435",102.133382126499
"436",102.188292980123
"437",102.241200207918
"438",102.290589332026
"439",102.252236639821
"440",102.133836218452
"441",101.978818940033
"442",101.814086563314
"443",101.600960078284
"444",101.316716257245
"445",100.98894657459
"446",100.663298524743
"447",100.411885234634
"448",100.179525391104
"449",99.9892465080337
"450",99.7849682537051
"451",99.5839945906155
